CPU model	# of users	Price, in VND
Pentium(R) Dual-Core CPU T4400 @ 2.20GHz	13391	454300
Intel(R) Core(TM)2 Duo CPU E4500 @ 2.20GHz	13302	454300
Intel(R) Celeron(R) CPU G1620 @ 2.70GHz	13140	931315
Intel(R) Core(TM) i3-3227U CPU @ 1.90GHz	13124	5110875
Intel(R) Pentium(R) CPU G645 @ 2.90GHz	12794	1453760
Intel(R) Core(TM)2 Duo CPU T5870 @ 2.00GHz	12588	454300
Intel(R) Core(TM)2 Duo CPU E7300 @ 2.66GHz	12510	454300
Pentium(R) Dual-Core CPU T4500 @ 2.30GHz	12490	454300
Intel(R) Pentium(R) CPU G640 @ 2.80GHz	12349	1453760
Intel(R) Celeron(R) CPU E3400 @ 2.60GHz	12196	954030
Intel(R) Pentium(R) CPU G840 @ 2.80GHz	11942	454300
Intel(R) Pentium(R) CPU G3440 @ 3.30GHz	11921	1817200
Intel(R) Pentium(R) Dual CPU E2220 @ 2.40GHz	11772	454300
Intel(R) Pentium(R) CPU B940 @ 2.00GHz	11743	454300
Intel(R) Celeron(R) D CPU 3.06GHz	11573	454300
Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz	11314	454300
Intel(R) Core(TM) i3-3210 CPU @ 3.20GHz	11312	2657655
Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz	11288	4304493
Intel(R) Core(TM)2 Duo CPU E6750 @ 2.66GHz	10654	454300
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz	10460	8926995
Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz	10457	8926995
Intel(R) Core(TM)2 Duo CPU E8500 @ 3.16GHz	10126	454300
Intel(R) Core(TM) i5 CPU M 460 @ 2.53GHz	10118	454300
Intel(R) Core(TM)2 Duo CPU T6400 @ 2.00GHz	10022	454300
Intel(R) Core(TM)2 Duo CPU P8600 @ 2.40GHz	10011	454300
Pentium(R) Dual-Core CPU T4200 @ 2.00GHz	9861	454300
Pentium(R) Dual-Core CPU E6700 @ 3.20GHz	9836	454300
Intel(R) Core(TM) i5 CPU M 480 @ 2.67GHz	9831	454300
Intel(R) Celeron(R) CPU 1007U @ 1.50GHz	9821	1703625
Intel(R) Core(TM) i3-2130 CPU @ 3.40GHz	9767	454300
Intel(R) Core(TM) i5-5250U CPU @ 1.60GHz	9588	7155225
Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz	9488	454300
Intel(R) Pentium(R) CPU B950 @ 2.10GHz	9486	454300
Intel(R) Pentium(R) CPU P6100 @ 2.00GHz	9466	454300
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz	9417	4190918
Intel(R) Core(TM) i3 CPU 540 @ 3.07GHz	9317	454300
Intel(R) Celeron(R) CPU G540 @ 2.50GHz	9083	931315
Intel(R) Core(TM)2 Duo CPU P8700 @ 2.53GHz	9037	454300
Intel(R) Core(TM)2 Duo CPU E7200 @ 2.53GHz	9027	454300
Intel(R) Celeron(R) CPU N3060 @ 1.60GHz	8721	2430505
Intel(R) Core(TM)2 Duo CPU P8400 @ 2.26GHz	8646	454300
Pentium(R) Dual-Core CPU E5800 @ 3.20GHz	8497	454300
Pentium(R) Dual-Core CPU E6300 @ 2.80GHz	8430	454300
Intel(R) Pentium(R) CPU G850 @ 2.90GHz	8413	454300
Intel(R) Pentium(R) CPU G3460 @ 3.50GHz	8378	1817200
Intel(R) Core(TM)2 Duo CPU E4600 @ 2.40GHz	8361	454300
Intel(R) Core(TM) i5 CPU M 540 @ 2.53GHz	8335	454300
Intel(R) Core(TM)2 Duo CPU T6670 @ 2.20GHz	8263	454300
Intel(R) Core(TM)2 Duo CPU T7250 @ 2.00GHz	8232	454300
Intel(R) Pentium(R) CPU N3710 @ 1.60GHz	8047	3657115
Intel(R) Celeron(R) CPU E3300 @ 2.50GHz	8026	1067605
Intel(R) Pentium(R) CPU G2120 @ 3.10GHz	7850	1669553
Intel(R) Core(TM)2 CPU 6400 @ 2.13GHz	7670	454300
Intel(R) Core(TM)2 Duo CPU T6500 @ 2.10GHz	7641	454300
Intel(R) Pentium(R) CPU 2020M @ 2.40GHz	7538	3043810
Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz	7445	6382915
